UniProt ID,DrugBank ID,Fold,Type
Q96CD2,DB03738,1,Positive
O15554,DB00228,1,Positive
Q06481,DB14533,1,Positive
P07358,DB14533,1,Positive
P00441,DB01629,1,Positive
P14174,DB07718,1,Positive
P35499,DB00313,1,Positive
P08174,DB00446,1,Positive
Q99928,DB00897,1,Positive
P27797,DB01065,1,Positive
P35372,DB01433,1,Positive
P11597,DB06281,1,Positive
Q9UE69,DB00370,1,Positive
Q9NPB1,DB02217,1,Positive
O00591,DB00603,1,Positive
P00797,DB06967,1,Positive
P50579,DB07746,1,Positive
Q13621,DB00774,1,Positive
P13945,DB06726,1,Positive
P00749,DB07626,1,Positive
P63151,DB02506,1,Positive
P31350,DB05003,1,Positive
O00555,DB11148,1,Positive
P00734,DB01766,1,Positive
P04181,DB02821,1,Positive
P04217,DB14533,1,Positive
P08913,DB00925,1,Positive
P16152,DB01698,1,Positive
P47869,DB11582,1,Positive
P20309,DB00321,1,Positive
P23946,DB07680,1,Positive
Q13936,DB09237,1,Positive
P28223,DB00408,1,Positive
P11473,DB04891,1,Positive
O60674,DB15035,1,Positive
P54762,DB12010,1,Positive
O00305,DB00153,1,Positive
P41594,DB06201,1,Positive
P35372,DB06409,1,Positive
Q04206,DB08908,1,Positive
Q14957,DB00874,1,Positive
P11230,DB00674,1,Positive
Q16595,DB14489,1,Positive
P16442,DB07341,1,Positive
P37231,DB07302,1,Positive
P31645,DB04836,1,Positive
Q9Y663,DB04272,1,Positive
P17174,DB00128,1,Positive
P07900,DB08789,1,Positive
P51649,DB00534,1,Positive
P35354,DB00784,1,Positive
Q14500,DB00243,1,Positive
P28335,DB00246,1,Positive
P28566,DB00715,1,Positive
Q9UDR5,DB02338,1,Positive
P21397,DB04821,1,Positive
P24941,DB07529,1,Positive
Q02750,DB06892,1,Positive
P34903,DB05087,1,Positive
P00749,DB03127,1,Positive
P34897,DB11638,1,Positive
P02671,DB14487,1,Positive
Q86UW7,DB14481,1,Positive
P00374,DB08234,1,Positive
P61925,DB08149,1,Positive
Q16665,DB08687,1,Positive
Q16665,DB06082,1,Positive
P08100,DB02451,1,Positive
P28221,DB00334,1,Positive
P00734,DB06869,1,Positive
P22314,DB04119,1,Positive
P25100,DB00697,1,Positive
P28223,DB00696,1,Positive
P06737,DB07968,1,Positive
P63092,DB06843,1,Positive
P18089,DB01365,1,Positive
P35354,DB00469,1,Positive
P47870,DB00189,1,Positive
O43519,DB00619,1,Positive
P42262,DB04129,1,Positive
P35247,DB02379,1,Positive
P01876,DB14533,1,Positive
O95178,DB00157,1,Positive
P28476,DB01558,1,Positive
P32322,DB00157,1,Positive
P34903,DB00292,1,Positive
P31644,DB05087,1,Positive
P21917,DB00589,1,Positive
P20309,DB01062,1,Positive
P14416,DB12478,1,Positive
P04278,DB00367,1,Positive
P06737,DB03744,1,Positive
Q9Y285,DB00120,1,Positive
Q16706,DB03008,1,Positive
Q9UN88,DB01589,1,Positive
Q08289,DB06712,1,Positive
Q9NXA8,DB02059,1,Positive
P29323,DB04395,1,Positive
P08246,DB02341,1,Positive
P02649,DB14533,1,Positive
P23219,DB02047,1,Positive
P19634,DB02624,1,Positive
O14842,DB00159,1,Positive
Q92731,DB14641,1,Positive
P80303,DB11093,1,Positive
Q8TF61,DB12695,1,Positive
Q9P0X4,DB01388,1,Positive
Q92769,DB02546,1,Positive
Q9BZW2,DB00139,1,Positive
P11473,DB00169,1,Positive
P09211,DB03003,1,Positive
P69905,DB09147,1,Positive
P08908,DB04829,1,Positive
P52209,DB00851,1,Positive
P27487,DB08044,1,Positive
Q04609,DB08835,1,Positive
O75469,DB14001,1,Positive
P08912,DB13581,1,Positive
P31645,DB09195,1,Positive
O14764,DB00546,1,Positive
O14757,DB07311,1,Positive
O60669,DB00119,1,Positive
P30939,DB00952,1,Positive
P78334,DB01159,1,Positive
P49789,DB04173,1,Positive
P23219,DB00554,1,Positive
P07741,DB01632,1,Positive
P69905,DB14533,1,Positive
P35869,DB00393,1,Positive
Q96RQ9,DB04166,1,Positive
O43497,DB09061,1,Positive
P46663,DB14487,1,Positive
P62955,DB00153,1,Positive
O14957,DB08330,1,Positive
P00742,DB07973,1,Positive
Q9NPC1,DB06248,1,Positive
P07477,DB02463,1,Positive
P07477,DB07229,1,Positive
P29475,DB01997,1,Positive
P09848,DB04659,1,Positive
P21728,DB00555,1,Positive
P21397,DB09245,1,Positive
P00750,DB07684,1,Positive
Q13547,DB06176,1,Positive
O95069,DB04855,1,Positive
Q9HCP0,DB08325,1,Positive
P35367,DB01151,1,Positive
Q15303,DB15035,1,Positive
O00763,DB00121,1,Positive
P10275,DB08461,1,Positive
Q08170,DB11638,1,Positive
P00749,DB02473,1,Positive
Q9NWZ5,DB03685,1,Positive
P28223,DB01079,1,Positive
P02746,DB14487,1,Positive
P37231,DB09213,1,Positive
Q06187,DB01254,1,Positive
P07478,DB04410,1,Positive
P35368,DB00363,1,Positive
P19793,DB03756,1,Positive
P35462,DB01267,1,Positive
P28702,DB00926,1,Positive
P50225,DB01812,1,Positive
P21554,DB09061,1,Positive
P25788,DB08515,1,Positive
P02765,DB14487,1,Positive
P18825,DB00368,1,Positive
O00299,DB11638,1,Positive
P23975,DB05642,1,Positive
P00374,DB03060,1,Positive
Q8N1C3,DB00404,1,Positive
P09038,DB05434,1,Positive
P09871,DB14487,1,Positive
P30968,DB06785,1,Positive
P07550,DB01366,1,Positive
Q70Z44,DB09304,1,Positive
Q8N5Z0,DB00142,1,Positive
Q16539,DB06991,1,Positive
Q08499,DB00201,1,Positive
P48549,DB02451,1,Positive
O75976,DB04489,1,Positive
Q8TCU5,DB01159,1,Positive
P18825,DB00714,1,Positive
P28335,DB01392,1,Positive
P06733,DB01593,1,Positive
Q86UW7,DB11093,1,Positive
P15153,DB00514,1,Positive
P61313,DB08437,1,Positive
P28566,DB12141,1,Positive
Q9UGI9,DB00945,1,Positive
Q9UN19,DB01863,1,Positive
P60174,DB11638,1,Positive
P12319,DB00895,1,Positive
P08172,DB00517,1,Positive
P41743,DB12010,1,Positive
P21728,DB00714,1,Positive
O15399,DB11823,1,Positive
P16435,DB03461,1,Positive
P02647,DB01593,1,Positive
O15554,DB00468,1,Positive
P07327,DB01213,1,Positive
P08913,DB11273,1,Positive
P11498,DB07497,1,Positive
P25101,DB00945,1,Positive
P09874,DB03073,1,Positive
P12931,DB01254,1,Positive
P13631,DB00982,1,Positive
P01619,DB14487,1,Positive
P07451,DB00311,1,Positive
P37231,DB07208,1,Positive
P18089,DB09167,1,Positive
Q16539,DB07833,1,Positive
Q14500,DB00204,1,Positive
O95477,DB01016,1,Positive
P14867,DB11901,1,Positive
P10275,DB11447,1,Positive
P28702,DB08175,1,Positive
P31350,DB00242,1,Positive
P28223,DB00363,1,Positive
P19838,DB00852,1,Positive
P21728,DB01186,1,Positive
P45452,DB04761,1,Positive
P01876,DB01593,1,Positive
P29372,DB01593,1,Positive
O14957,DB07778,1,Positive
Q04760,DB03345,1,Positive
O14649,DB00561,1,Positive
P14416,DB11275,1,Positive
P35372,DB09289,1,Positive
P03372,DB13954,1,Positive
P35348,DB09203,1,Positive
P04083,DB01222,1,Positive
O43497,DB00593,1,Positive
O00204,DB01708,1,Positive
P48169,DB00463,1,Positive
Q04760,DB08179,1,Positive
P61626,DB03120,1,Positive
Q8N1C3,DB00228,1,Positive
Q15858,DB00564,1,Positive
P02647,DB09130,1,Positive
Q03405,DB05476,1,Positive
P07355,DB11638,1,Positive
P28476,DB01594,1,Positive
P48169,DB01353,1,Positive
P19801,DB01373,1,Positive
Q9H244,DB06441,1,Positive
P03372,DB13953,1,Positive
P10721,DB00398,1,Positive
P55157,DB01094,1,Positive
P13051,DB06990,1,Positive
O43283,DB12010,1,Positive
P07477,DB01939,1,Positive
P00973,DB02987,1,Positive
P01133,DB11973,1,Positive
Q13224,DB00843,1,Positive
P00734,DB07120,1,Positive
Q9Y2I1,DB09242,1,Positive
P20309,DB01625,1,Positive
P01375,DB01407,1,Positive
P84077,DB04137,1,Positive
Q9BZX2,DB03403,1,Positive
P55786,DB11781,1,Positive
P08172,DB09194,1,Positive
P10828,DB01583,1,Positive
P35367,DB08799,1,Positive
P27338,DB00780,1,Positive
Q9UJT0,DB00570,1,Positive
Q01959,DB01454,1,Positive
P28335,DB01242,1,Positive
P78536,DB07233,1,Positive
P14061,DB02323,1,Positive
P48167,DB00145,1,Positive
Q9NWZ5,DB03419,1,Positive
P31942,DB09130,1,Positive
P78334,DB01956,1,Positive
P07477,DB07095,1,Positive
P08514,DB00775,1,Positive
P24941,DB07751,1,Positive
Q16445,DB00475,1,Positive
P31323,DB02527,1,Positive
Q99928,DB01708,1,Positive
P28223,DB00248,1,Positive
P53779,DB08025,1,Positive
O75311,DB00602,1,Positive
P51149,DB04315,1,Positive
P24530,DB06268,1,Positive
P34969,DB00988,1,Positive
P21802,DB09079,1,Positive
P08913,DB04948,1,Positive
P45983,DB01782,1,Positive
Q96FI4,DB14491,1,Positive
P03372,DB05966,1,Positive
P20309,DB01085,1,Positive
P55055,DB07082,1,Positive
P00734,DB05714,1,Positive
O43708,DB00143,1,Positive
P48443,DB00307,1,Positive
Q70Z44,DB13025,1,Positive
Q06830,DB14487,1,Positive
P07900,DB02840,1,Positive
P24941,DB08125,1,Positive
P47869,DB00897,1,Positive
Q99707,DB00200,1,Positive
P00915,DB01021,1,Positive
P41143,DB01452,1,Positive
P78536,DB07964,1,Positive
P46940,DB11638,1,Positive
P23975,DB06204,1,Positive
P03956,DB08403,1,Positive
P14618,DB07628,1,Positive
P48637,DB09130,1,Positive
P25100,DB01365,1,Positive
O00555,DB00836,1,Positive
Q10588,DB03732,1,Positive
P25705,DB08629,1,Positive
O94804,DB12010,1,Positive
P00326,DB02131,1,Positive
Q99250,DB00909,1,Positive
P11229,DB01069,1,Positive
P41595,DB12141,1,Positive
Q8WXA8,DB00715,1,Positive
P14555,DB04287,1,Positive
O60391,DB06738,1,Positive
P35228,DB07007,1,Positive
P53779,DB07217,1,Positive
Q9UJ68,DB04447,1,Positive
Q07343,DB01427,1,Positive
Q00975,DB00996,1,Positive
Q5T1J1,DB00514,1,Positive
P34903,DB09166,1,Positive
Q86XF0,DB01958,1,Positive
P49448,DB00157,1,Positive
P25100,DB11278,1,Positive
O75469,DB06777,1,Positive
P28702,DB01941,1,Positive
P00915,DB08155,1,Positive
P08758,DB03935,1,Positive
P14324,DB02552,1,Positive
P08173,DB00363,1,Positive
P18507,DB00794,1,Positive
P28223,DB09128,1,Positive
P08908,DB09244,1,Positive
O15111,DB00244,1,Positive
P35228,DB03953,1,Positive
Q13255,DB00142,1,Positive
O60391,DB01173,1,Positive
O14717,DB01752,1,Positive
P48637,DB00143,1,Positive
P03372,DB02615,1,Positive
P80365,DB14539,1,Positive
Q06432,DB11148,1,Positive
Q16816,DB12010,1,Positive
P01303,DB03380,1,Positive
Q13946,DB00201,1,Positive
P33261,DB12319,1,Positive
O75762,DB09061,1,Positive
Q14330,DB09061,1,Positive
P08912,DB00483,1,Positive
P04150,DB01013,1,Positive
P61978,DB12695,1,Positive
Q99720,DB00514,1,Positive
P35348,DB14185,1,Positive
Q16644,DB08358,1,Positive
P27487,DB08530,1,Positive
Q05315,DB02983,1,Positive
Q99623,DB06774,1,Positive
Q9UJM8,DB07060,1,Positive
Q16445,DB01068,1,Positive
Q9NZK7,DB09462,1,Positive
P21917,DB00777,1,Positive
P02788,DB03017,1,Positive
P00374,DB02583,1,Positive
Q92781,DB00162,1,Positive
O95255,DB00171,1,Positive
P12931,DB06883,1,Positive
P35367,DB06148,1,Positive
P28335,DB00623,1,Positive
P03372,DB04575,1,Positive
Q99584,DB14481,1,Positive
P04150,DB14541,1,Positive
P26447,DB09130,1,Positive
P14867,DB01544,1,Positive
P08913,DB11278,1,Positive
P59998,DB08235,1,Positive
P23280,DB00909,1,Positive
P24941,DB08536,1,Positive
P00734,DB07944,1,Positive
Q7Z2Z2,DB02750,1,Positive
P41145,DB00708,1,Positive
P18825,DB13345,1,Positive
P22303,DB04614,1,Positive
P25103,DB05790,1,Positive
P00403,DB02659,1,Positive
P20248,DB08218,1,Positive
P68400,DB04216,1,Positive
Q9NY46,DB05541,1,Positive
P29474,DB08019,1,Positive
P11217,DB02519,1,Positive
Q9UN88,DB00543,1,Positive
P21728,DB00543,1,Positive
P53779,DB08026,1,Positive
P0CG04,DB03088,1,Positive
P32119,DB09130,1,Positive
Q14524,DB00680,1,Positive
P31645,DB08839,1,Positive
Q92731,DB04216,1,Positive
Q15822,DB00411,1,Positive
P62942,DB01951,1,Positive
Q9HD40,DB00114,1,Positive
P43235,DB02679,1,Positive
P69905,DB09112,1,Positive
P23219,DB00788,1,Positive
P04054,DB03565,1,Positive
P34969,DB01238,1,Positive
P54289,DB00153,1,Positive
P25100,DB06153,1,Positive
P21796,DB01375,1,Positive
P29475,DB02143,1,Positive
P42262,DB02347,1,Positive
P11229,DB00354,1,Positive
Q9NVH6,DB00126,1,Positive
P28335,DB01267,1,Positive
Q99720,DB01488,1,Positive
P11229,DB00747,1,Positive
Q14457,DB13952,1,Positive
P18031,DB08001,1,Positive
P08922,DB11986,1,Positive
Q99653,DB14481,1,Positive
P63208,DB06981,1,Positive
P05023,DB01396,1,Positive
Q12809,DB04957,1,Positive
O75469,DB07931,1,Positive
P01859,DB08618,1,Positive
P05093,DB00396,1,Positive
Q9UQM7,DB12010,1,Positive
P16118,DB02393,1,Positive
P68133,DB04774,1,Positive
Q9UNX3,DB07374,1,Positive
P23219,DB02709,1,Positive
P47870,DB00753,1,Positive
Q07869,DB07724,1,Positive
P80511,DB00768,1,Positive
P14867,DB00228,1,Positive
P80188,DB01631,1,Positive
P03950,DB03088,1,Positive
P08173,DB00543,1,Positive
P14416,DB00734,1,Positive
P07686,DB00205,1,Positive
P11413,DB11638,1,Positive
P16860,DB06412,1,Positive
P21281,DB07347,1,Positive
P24752,DB14011,1,Positive
P47869,DB00189,1,Positive
P07858,DB04579,1,Positive
O95264,DB13345,1,Positive
P54760,DB07256,1,Positive
P49821,DB00157,1,Positive
P25100,DB00321,1,Positive
P28223,DB13948,1,Positive
P06493,DB08142,1,Positive
Q8TCU5,DB09481,1,Positive
P04150,DB01384,1,Positive
P80365,DB14540,1,Positive
P22455,DB08901,1,Positive
P48169,DB00292,1,Positive
P00915,DB09472,1,Positive
O95180,DB09089,1,Positive
Q00987,DB14533,1,Positive
Q9UEW3,DB11132,1,Positive
P30626,DB14481,1,Positive
Q12809,DB06457,1,Positive
P42336,DB12483,1,Positive
P07478,DB01805,1,Positive
P00918,DB02429,1,Positive
P11217,DB01843,1,Positive
P41595,DB13345,1,Positive
P20309,DB00934,1,Positive
P35243,DB08231,1,Positive
P18507,DB01107,1,Positive
P28223,DB13025,1,Positive
P35372,DB06274,1,Positive
P22894,DB07900,1,Positive
P21728,DB00696,1,Positive
P52732,DB08037,1,Positive
P14555,DB02504,1,Positive
Q13873,DB12010,1,Positive
P14555,DB02325,1,Positive
Q99835,DB08828,1,Positive
P48169,DB01956,1,Positive
P17612,DB07124,1,Positive
P32297,DB01090,1,Positive
P02768,DB06728,1,Positive
P09848,DB03389,1,Positive
P35368,DB00841,1,Positive
P08913,DB06678,1,Positive
P80365,DB01185,1,Positive
P23975,DB04821,1,Positive
P29466,DB04875,1,Positive
P41143,DB09209,1,Positive
P01857,DB08410,1,Positive
P19823,DB09130,1,Positive
P05166,DB00121,1,Positive
P34903,DB00475,1,Positive
O14757,DB12010,1,Positive
P18505,DB00603,1,Positive
O14757,DB07038,1,Positive
P37231,DB08402,1,Positive
Q92769,DB06603,1,Positive
Q9BYC2,DB00139,1,Positive
P24941,DB04607,1,Positive
Q9Y271,DB00587,1,Positive
Q92731,DB07032,1,Positive
P24046,DB01588,1,Positive
P28335,DB00193,1,Positive
P01857,DB08412,1,Positive
P04075,DB01593,1,Positive
P21802,DB09078,1,Positive
P08908,DB14010,1,Positive
P11926,DB02209,1,Positive
P37288,DB14642,1,Positive
P61313,DB07374,1,Positive
P05156,DB01593,1,Positive
P07949,DB08875,1,Positive
P32297,DB00915,1,Positive
P13569,DB11712,1,Positive
P07900,DB07324,1,Positive
Q9UQQ2,DB06589,1,Positive
P03950,DB04272,1,Positive
O43252,DB09462,1,Positive
P62913,DB07374,1,Positive
P21728,DB09286,1,Positive
P00747,DB00302,1,Positive
P29274,DB11757,1,Positive
P07358,DB14487,1,Positive
P14416,DB08815,1,Positive
Q969P6,DB00762,1,Positive
Q9P2E9,DB12339,1,Positive
P61158,DB08235,1,Positive
Q92731,DB07230,1,Positive
Q14957,DB06738,1,Positive
P14555,DB00328,1,Positive
Q14524,DB05541,1,Positive
P08473,DB09292,1,Positive
P13945,DB08808,1,Positive
P07998,DB04514,1,Positive
P41595,DB06229,1,Positive
P06401,DB00957,1,Positive
O00206,DB08231,1,Positive
Q8NET8,DB09061,1,Positive
P15085,DB07484,1,Positive
P18507,DB00371,1,Positive
P0DMS8,DB12010,1,Positive
P22392,DB04315,1,Positive
P28566,DB01221,1,Positive
Q08188,DB03152,1,Positive
P24941,DB08248,1,Positive
P23975,DB01149,1,Positive
P12931,DB03712,1,Positive
P02647,DB14487,1,Positive
P45984,DB12010,1,Positive
Q12809,DB00252,1,Positive
P20309,DB01409,1,Positive
P04746,DB04453,1,Positive
Q9BXJ7,DB00200,1,Positive
P00734,DB07549,1,Positive
P06746,DB14501,1,Positive
P01011,DB14533,1,Positive
P23219,DB04817,1,Positive
P31645,DB06684,1,Positive
P04278,DB14487,1,Positive
P22303,DB00545,1,Positive
P08172,DB00454,1,Positive
O14764,DB00690,1,Positive
P02675,DB00364,1,Positive
P35914,DB04594,1,Positive
O00299,DB09130,1,Positive
P21817,DB01219,1,Positive
P69905,DB07645,1,Positive
P07477,DB01705,1,Positive
P34995,DB00917,1,Positive
Q9UI33,DB00564,1,Positive
P37231,DB04971,1,Positive
Q15788,DB06908,1,Positive
O14757,DB08393,1,Positive
P30405,DB00091,1,Positive
Q16539,DB08064,1,Positive
P04731,DB14533,1,Positive
P18089,DB00696,1,Positive
P12821,DB09477,1,Positive
P19827,DB01593,1,Positive
P45452,DB08490,1,Positive
P28472,DB01159,1,Positive
Q99470,DB02201,1,Positive
P16455,DB01593,1,Positive
P41146,DB01497,1,Positive
Q07869,DB05187,1,Positive
P08913,DB00934,1,Positive
P22748,DB00819,1,Positive
P09871,DB02371,1,Positive
Q9UI33,DB11186,1,Positive
P13196,DB00145,1,Positive
P51172,DB00594,1,Positive
P63261,DB09130,1,Positive
P04083,DB00959,1,Positive
P11226,DB03879,1,Positive
P30518,DB02638,1,Positive
P56817,DB07734,1,Positive
P28845,DB04652,1,Positive
P34903,DB00659,1,Positive
P11802,DB03496,1,Positive
P63252,DB04855,1,Positive
P25100,DB00268,1,Positive
P27338,DB04832,1,Positive
P31645,DB00574,1,Positive
P21802,DB02058,1,Positive
P08758,DB09130,1,Positive
P07477,DB07088,1,Positive
Q16602,DB15328,1,Positive
Q99928,DB00241,1,Positive
Q86WA6,DB03380,1,Positive
Q13133,DB13174,1,Positive
P35367,DB08801,1,Positive
P11142,DB07045,1,Positive
P10253,DB00491,1,Positive
Q13224,DB04896,1,Positive
P00918,DB04600,1,Positive
P08588,DB01297,1,Positive
P51788,DB01046,1,Positive
P51800,DB04552,1,Positive
P15121,DB07450,1,Positive
P56817,DB07993,1,Positive
O15530,DB01946,1,Positive
Q9Y233,DB08811,1,Positive
Q14957,DB06741,1,Positive
P28845,DB00157,1,Positive
P07477,DB06923,1,Positive
Q9H1R3,DB04825,1,Positive
P47870,DB00231,1,Positive
Q12882,DB03516,1,Positive
O14965,DB07360,1,Positive
P31644,DB00753,1,Positive
Q16878,DB00151,1,Positive
P09211,DB02633,1,Positive
Q9H252,DB00308,1,Positive
P18825,DB01392,1,Positive
P62508,DB00675,1,Positive
Q16595,DB14501,1,Positive
P07477,DB04336,1,Positive
P35354,DB00461,1,Positive
Q6PHR2,DB12010,1,Positive
P11388,DB04967,1,Positive
P24941,DB07982,1,Positive
O95363,DB00120,1,Positive
P30542,DB00277,1,Positive
P00325,DB09462,1,Positive
P06241,DB01254,1,Positive
P54687,DB07544,1,Positive
P51659,DB00157,1,Positive
P68371,DB01873,1,Positive
P43115,DB00905,1,Positive
P35368,DB01136,1,Positive
Q6NXR0,DB03814,1,Positive
P46098,DB01233,1,Positive
P06239,DB12010,1,Positive
P06276,DB00733,1,Positive
Q9Y5N1,DB05381,1,Positive
Q05940,DB00502,1,Positive
P21918,DB09097,1,Positive
P14416,DB06077,1,Positive
P31946,DB12695,1,Positive
P25713,DB01593,1,Positive
Q8N1C3,DB00659,1,Positive
P62277,DB11638,1,Positive
P34903,DB01594,1,Positive
P41143,DB00295,1,Positive
Q96NR8,DB00162,1,Positive
P11142,DB09130,1,Positive
P07477,DB04269,1,Positive
P08912,DB00747,1,Positive
P28702,DB00755,1,Positive
O00408,DB07954,1,Positive
Q15858,DB00776,1,Positive
P21728,DB05271,1,Positive
P21802,DB08896,1,Positive
O60706,DB00171,1,Positive
Q16647,DB08675,1,Positive
F7VJQ1,DB09130,1,Positive
P00918,DB00391,1,Positive
Q8TCC7,DB01212,1,Positive
P00750,DB01088,1,Positive
Q00975,DB05885,1,Positive
P36544,DB00599,1,Positive
P47869,DB13872,1,Positive
Q16584,DB12010,1,Positive
P31644,DB01588,1,Positive
P04040,DB14011,1,Positive
P28221,DB13345,1,Positive
P07949,DB08901,1,Positive
P09417,DB03814,1,Positive
P03372,DB13869,1,Positive
P18505,DB00628,1,Positive
P08908,DB00714,1,Positive
P11229,DB00383,1,Positive
Q9UN88,DB09118,1,Positive
Q9Y5Y9,DB11186,1,Positive
P42262,DB01346,1,Positive
P35368,DB00723,1,Positive
O14594,DB02379,1,Positive
P04155,DB00481,1,Positive
O75880,DB09130,1,Positive
P19793,DB07863,1,Positive
P17612,DB08568,1,Positive
P35527,DB01593,1,Positive
P08908,DB00952,1,Positive
P15086,DB07269,1,Positive
Q9Y6F1,DB07677,1,Positive
P08254,DB02367,1,Positive
Q71U36,DB03010,1,Positive
P35368,DB01365,1,Positive
Q15125,DB00675,1,Positive
O15399,DB01043,1,Positive
P11309,DB08709,1,Positive
O75390,DB01969,1,Positive
P35968,DB05075,1,Positive
P07998,DB02363,1,Positive
P14210,DB12307,1,Positive
P10745,DB11948,1,Positive
P29475,DB02991,1,Positive
P30542,DB00640,1,Positive
O15146,DB12010,1,Positive
Q92736,DB01195,1,Positive
P02766,DB01593,1,Positive
P06870,DB14518,1,Positive
P26440,DB03147,1,Positive
P12931,DB02762,1,Positive
P05129,DB12010,1,Positive
O15399,DB01174,1,Positive
P22748,DB01021,1,Positive
P35499,DB09345,1,Positive
P35367,DB00215,1,Positive
P00734,DB06929,1,Positive
P42262,DB01355,1,Positive
Q9BXA5,DB00139,1,Positive
P00797,DB07059,1,Positive
Q8N1C3,DB00463,1,Positive
P47869,DB01353,1,Positive
P47870,DB01205,1,Positive
P05089,DB00129,1,Positive
P24941,DB07054,1,Positive
P35367,DB06153,1,Positive
P01008,DB00569,1,Positive
P13674,DB00139,1,Positive
P42261,DB01189,1,Positive
P35030,DB02541,1,Positive
P23219,DB13783,1,Positive
P36544,DB11726,1,Positive
P25100,DB00598,1,Positive
P08908,DB01621,1,Positive
P28472,DB01595,1,Positive
P49840,DB12010,1,Positive
P35367,DB06016,1,Positive
Q16566,DB07676,1,Positive
P18507,DB01189,1,Positive
Q13698,DB04920,1,Positive
P05106,DB00451,1,Positive
P15085,DB02652,1,Positive
O14764,DB00312,1,Positive
P29475,DB09241,1,Positive
P29622,DB09130,1,Positive
Q9UN88,DB00818,1,Positive
P0DM35,DB12965,1,Positive
Q15825,DB00898,1,Positive
P11229,DB00219,1,Positive
P28222,DB00696,1,Positive
P11086,DB01752,1,Positive
P24046,DB01559,1,Positive
P48169,DB00599,1,Positive
O60391,DB04896,1,Positive
O00187,DB04527,1,Positive
P03372,DB04216,1,Positive
P11586,DB02358,1,Positive
P08908,DB12141,1,Positive
P35348,DB11273,1,Positive
Q9Y6E0,DB12010,1,Positive
P08913,DB09167,1,Positive
P19404,DB00157,1,Positive
P36021,DB00119,1,Positive
P41143,DB01081,1,Positive
P18031,DB02827,1,Positive
P11217,DB07807,1,Positive
P27338,DB01247,1,Positive
O75469,DB01039,1,Positive
Q16445,DB01708,1,Positive
Q96BI3,DB05171,1,Positive
Q71U36,DB00570,1,Positive
P28221,DB09304,1,Positive
Q8NET8,DB01744,1,Positive
P28331,DB00157,1,Positive
Q99928,DB01236,1,Positive
P28472,DB00312,1,Positive
P00742,DB06920,1,Positive
P07550,DB06726,1,Positive
P34903,DB01028,1,Positive
P08709,DB08232,1,Positive
P34969,DB00321,1,Positive
P42262,DB01354,1,Positive
P18089,DB09304,1,Positive
Q15382,DB04315,1,Positive
P04629,DB12010,1,Positive
P37231,DB07111,1,Positive
P03897,DB00157,1,Positive
Q01959,DB01161,1,Positive
P04746,DB00284,1,Positive
O60603,DB03963,1,Positive
P00749,DB06857,1,Positive
P00734,DB07278,1,Positive
P17948,DB04879,1,Positive
P20309,DB01337,1,Positive
O43497,DB14011,1,Positive
O60551,DB07061,1,Positive
P04350,DB03010,1,Positive
Q12879,DB00843,1,Positive
Q9UEE5,DB12010,1,Positive
P07998,DB03726,1,Positive
